"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","LMS service","0","Users","1","0","get entity","0"
"0","LMS service","0","Courses","1","0","create entity","0"
"0","LMS service","0","Files","1","0","delete entity","0"
"0","LMS service","0","Exercises","1","0","delete entity","0"
"0","LMS service","0","Files","3","0","validate entity","0"
"0","LMS service","0","Users","3","0","create entity","0"
"0","LMS service","0","Courses","1","0","get entities","0"
"0","LMS service","0","Authentication","1","0","login","0"
"0","LMS service","0","Exercises","1","0","update entity","0"
"0","LMS service","0","Exercises","1","0","get entity","0"
"0","LMS service","0","Exercises","1","0","create entity","0"
"0","LMS service","0","Files","1","0","create entity","0"
"0","LMS service","0","Files","1","0","get entity","0"
"0","LMS service","0","Exercises","1","0","get entities","0"
"0","LMS service","0","Courses","1","0","update entity","0"
